"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Allen Lazard","GB","WR61","2.0","19.7","0.0","50.0","671.4","3.8","0.6","90.5"
"N'Keal Harry","NE","WR62","11.1","74.0","0.1","47.0","574.8","4.2","0.7","89.5"
"Rex Burkhead","NE","RB51","91.1","372.2","3.5","27.8","270.0","1.0","1.2","88.8"
"Tyrell Williams","LV","WR63","0.0","3.0","0.0","39.9","601.6","4.6","0.1","87.7"
"Hayden Hurst","ATL","TE14","0.0","0.0","0.0","54.4","639.7","3.8","0.6","85.5"
"Nyheim Hines","IND","RB52","84.2","321.5","2.7","45.2","344.8","0.9","1.7","84.7"
"Danny Amendola","DET","WR64","0.0","0.0","0.0","62.1","685.0","2.9","0.6","84.5"
"Alshon Jeffery","PHI","WR65","1.0","2.0","1.0","46.1","538.1","4.2","0.6","84.0"
"Parris Campbell","IND","WR66","13.0","71.9","0.4","44.7","546.2","3.4","0.3","83.6"
"Brandon Aiyuk","SF","WR67","3.0","14.0","0.0","39.7","597.9","3.9","0.6","83.3"
"Jack Doyle","IND","TE15","0.0","0.0","0.0","54.3","552.0","4.9","0.7","83.2"
"Randall Cobb","HOU","WR68","3.9","16.0","0.0","49.9","632.0","3.2","0.7","82.8"
"Dallas Goedert","PHI","TE16","0.0","0.0","0.0","55.2","552.2","5.0","1.2","82.6"
"James Washington","PIT","WR69","0.0","0.0","0.0","42.3","655.5","3.0","0.6","82.4"
"Larry Fitzgerald","ARI","WR70","0.0","0.0","0.0","53.4","580.8","4.3","0.7","82.4"
"Alexander Mattison","MIN","RB53","128.4","553.1","2.9","10.3","87.6","0.3","0.8","81.9"
"Chris Conley","JAC","WR71","0.0","0.0","0.0","41.6","618.7","3.4","0.2","81.8"
"T.J. Hockenson","DET","TE17","0.0","0.0","0.0","54.3","606.2","3.8","0.7","81.8"
"Cole Beasley","BUF","WR72","0.0","0.0","0.0","56.5","617.4","3.5","0.6","81.8"
"Dede Westbrook","JAC","WR73","3.6","26.1","0.0","59.4","622.3","3.0","0.7","81.5"
"Steven Sims","WAS","WR74","8.5","66.4","0.6","46.5","476.0","4.1","0.7","81.2"
"Denzel Mims","NYJ","WR75","2.0","7.0","0.0","43.4","640.5","2.9","0.6","81.1"
"Corey Davis","TEN","WR76","1.0","8.0","0.0","44.7","595.1","3.5","0.2","81.0"
"Jonnu Smith","TEN","TE18","0.0","0.0","0.0","48.2","541.9","4.5","0.6","79.7"
"Rashaad Penny","SEA","RB54","90.0","434.6","3.4","12.1","109.3","0.9","0.7","78.6"
"Chase Edmonds","ARI","RB55","81.4","353.0","3.7","17.2","135.8","1.4","0.6","78.1"
"Devin Funchess","GB","WR77","0.0","0.0","0.0","39.5","535.9","4.0","0.1","77.4"
