,Player,Tm,Pos,Age,ADP,Cmp,Att,Yds,Int,Att,Yds,Tgt,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
64,Calvin Ridley,ATL,WR,25,53.5,0,0,0,0,2,34,93,63,866,13.75,0,0,0,0,0,34,0,2,866,7,195
70,Marvin Jones,DET,WR,29,105.3,0,0,0,0,2,0,91,62,779,12.56,0,0,0,0,0,0,0,2,779,9,193.9
66,Terry McLaurin,WAS,WR,24,#N/A,0,0,0,0,0,0,93,58,919,15.84,0,0,0,0,0,0,0,0,919,7,191.9
35,Josh Jacobs,OAK,RB,21,33.1,0,0,0,0,242,1150,27,20,166,8.3,1,1,0,0,0,1150,7,242,166,0,191.6
30,Austin Hooper,ATL,TE,25,95.4,0,0,0,0,0,0,97,75,787,10.49,0,0,0,0,0,0,0,0,787,6,189.7
72,Tyreek Hill,KAN,WR,25,13.9,0,0,0,0,8,23,89,58,860,14.83,0,0,0,0,0,23,0,8,860,7,188.3
102,Emmanuel Sanders,2TM,WR,32,80.6,1,1,35,0,0,0,97,66,869,13.17,0,0,35,1,1,0,0,0,869,5,188.3
69,Deebo Samuel,SFO,WR,23,151.8,0,0,0,0,14,159,81,57,802,14.07,2,1,0,0,0,159,3,14,802,3,187.1
99,D.K. Metcalf,SEA,WR,22,131.8,0,0,0,0,2,11,100,58,900,15.52,3,3,0,0,0,11,0,2,900,7,185.1
92,Sam Darnold,NYJ,QB,22,164.2,273,441,3024,13,33,62,0,0,0,0,11,3,3024,19,441,62,2,33,0,0,183.16
107,Cole Beasley,BUF,WR,30,159.6,0,0,0,0,0,0,106,67,778,11.61,0,0,0,0,0,0,0,0,778,6,180.8
96,Melvin Gordon,LAC,RB,26,42,0,0,0,0,162,612,55,42,296,7.05,4,3,0,0,0,612,8,162,296,1,180.8
41,Marlon Mack,IND,RB,23,46.5,0,0,0,0,247,1091,17,14,82,5.86,0,0,0,0,0,1091,8,247,82,0,179.3
93,Kyle Allen,CAR,QB,23,#N/A,303,489,3322,16,32,106,0,0,0,0,13,7,3322,17,489,106,2,32,0,0,177.48
122,Larry Fitzgerald,ARI,WR,36,106.5,0,0,0,0,0,0,109,75,804,10.72,1,1,0,0,0,0,0,0,804,4,177.4
108,Curtis Samuel,CAR,WR,23,88,0,0,0,0,19,130,105,54,627,11.61,0,0,0,0,0,130,1,19,627,6,171.7
65,David Montgomery,CHI,RB,22,31.3,0,0,0,0,242,889,35,25,185,7.4,2,2,0,0,0,889,6,242,185,1,170.4
104,Darius Slayton,NYG,WR,22,#N/A,0,0,0,0,0,0,84,48,740,15.42,0,0,0,0,0,0,0,0,740,8,170
24,Jared Cook,NOR,TE,32,70.6,0,0,0,0,0,0,65,43,705,16.4,0,0,0,0,0,0,0,0,705,9,167.5
94,Matthew Stafford,DET,QB,31,160.8,187,291,2499,5,20,66,0,0,0,0,5,3,2499,19,291,66,0,20,0,0,166.56
97,Ronald Jones,TAM,RB,22,158.1,0,0,0,0,172,724,40,31,309,9.97,3,2,0,0,0,724,6,172,309,0,166.3
129,Christian Kirk,ARI,WR,23,89.9,0,0,0,0,10,93,108,68,709,10.43,0,0,0,0,0,93,0,10,709,3,166.2
60,Raheem Mostert,SFO,RB,27,#N/A,0,0,0,0,137,772,22,14,180,12.86,2,2,0,0,0,772,8,137,180,2,165.2
140,Tarik Cohen,CHI,RB,24,71,0,0,0,0,64,213,104,79,456,5.77,3,0,0,0,0,213,0,64,456,3,163.9
111,Mike Williams,LAC,WR,25,60.3,0,0,0,0,1,2,90,49,1001,20.43,0,0,0,0,0,2,0,1,1001,2,161.3
56,Tyler Higbee,LAR,TE,26,#N/A,0,0,0,0,0,0,89,69,734,10.64,0,0,0,0,0,0,0,0,734,3,160.4
113,Robby Anderson,NYJ,WR,26,75.9,0,0,0,0,1,4,96,52,779,14.98,1,0,0,0,0,4,0,1,779,5,160.3
103,Latavius Murray,NOR,RB,29,76.4,0,0,0,0,146,637,43,34,235,6.91,0,0,0,0,0,637,5,146,235,1,157.2
119,Diontae Johnson,PIT,WR,23,#N/A,0,0,0,0,4,41,92,59,680,11.53,5,2,0,0,0,41,0,4,680,5,157.1
128,Randall Cobb,DAL,WR,29,#N/A,0,1,0,0,3,11,83,55,828,15.05,2,1,0,0,1,11,0,3,828,3,154.9
114,Chris Conley,JAX,WR,27,#N/A,0,0,0,0,0,0,90,47,775,16.49,0,0,0,0,0,0,0,0,775,5,154.5
115,Duke Johnson,HOU,RB,26,51.7,0,0,0,0,83,410,62,44,410,9.32,1,1,0,0,0,410,2,83,410,3,154
71,Carlos Hyde,HOU,RB,29,151.9,0,0,0,0,245,1070,16,10,42,4.2,4,2,0,0,0,1070,6,245,42,0,153.2
134,Dede Westbrook,JAX,WR,26,62.7,0,0,0,0,5,27,101,66,660,10,1,0,0,0,0,27,0,5,660,3,152.7
74,Sony Michel,NWE,RB,24,37.4,0,0,0,0,247,912,20,12,94,7.83,2,1,0,0,0,912,7,247,94,0,152.6
121,Golden Tate,NYG,WR,31,123.3,0,0,0,0,1,16,85,49,676,13.8,1,1,0,0,0,16,0,1,676,6,152.2
53,Hunter Henry,LAC,TE,25,63.3,0,0,0,0,0,0,76,55,652,11.85,1,1,0,0,0,0,0,0,652,5,148.2
106,Devin Singletary,BUF,RB,22,83.9,0,0,0,0,151,775,41,29,194,6.69,4,1,0,0,0,775,2,151,194,2,147.9
98,Adrian Peterson,WAS,RB,34,133.1,0,0,0,0,211,898,23,17,142,8.35,3,2,0,0,0,898,5,211,142,0,147
127,Marquise Brown,BAL,WR,22,#N/A,0,0,0,0,0,0,71,46,584,12.7,0,0,0,0,0,0,0,0,584,7,146.4
117,Jamaal Williams,GNB,RB,24,#N/A,0,0,0,0,107,460,45,39,253,6.49,0,0,0,0,0,460,1,107,253,5,146.3
110,James Conner,PIT,RB,24,7.1,0,0,0,0,116,464,38,34,251,7.38,1,1,0,0,0,464,4,116,251,3,145.5
61,Dallas Goedert,PHI,TE,24,#N/A,0,0,0,0,0,0,87,58,607,10.47,2,2,0,0,0,0,0,0,607,5,144.7
126,Tyrell Williams,OAK,WR,27,131.4,0,0,0,0,0,0,64,42,651,15.5,0,0,0,0,0,0,0,0,651,6,143.1
130,Royce Freeman,DEN,RB,23,108.1,0,0,0,0,132,496,50,43,256,5.95,0,0,0,0,0,496,3,132,256,1,142.2
118,David Johnson,ARI,RB,28,7.1,0,0,0,0,94,345,47,36,370,10.28,1,1,0,0,0,345,2,94,370,4,141.5
112,Damien Williams,KAN,RB,27,25.5,0,0,0,0,111,498,37,30,213,7.1,1,1,0,0,0,498,5,111,213,2,141.1
152,Danny Amendola,DET,WR,34,#N/A,1,1,19,0,0,0,97,62,678,10.94,0,0,19,1,1,0,0,0,678,1,140.56
145,Sterling Shepard,NYG,WR,26,92.2,0,0,0,0,6,72,83,57,576,10.11,0,0,0,0,0,72,0,6,576,3,139.8
123,Breshad Perriman,TAM,WR,26,#N/A,0,0,0,0,2,16,69,36,645,17.92,0,0,0,0,0,16,0,2,645,6,138.1
76,Jason Witten,DAL,TE,37,#N/A,0,0,0,0,0,0,83,63,529,8.4,1,1,0,0,0,0,0,0,529,4,137.9
137,Sammy Watkins,KAN,WR,26,96.1,0,0,0,0,2,12,90,52,673,12.94,2,1,0,0,0,12,0,2,673,3,136.5
63,Mike Gesicki,MIA,TE,24,#N/A,0,0,0,0,0,0,89,51,570,11.18,1,1,0,0,0,0,0,0,570,5,136
109,Tevin Coleman,SFO,RB,26,57.7,0,0,0,0,137,544,30,21,180,8.57,0,0,0,0,0,544,6,137,180,1,135.4
142,Will Fuller,HOU,WR,25,81.6,0,0,0,0,0,0,71,49,670,13.67,1,0,0,0,0,0,0,0,670,3,134
136,James Washington,PIT,WR,23,101.3,0,0,0,0,0,0,80,44,735,16.7,1,1,0,0,0,0,0,0,735,3,133.5
144,Hunter Renfrow,OAK,WR,24,#N/A,0,0,0,0,0,0,71,49,605,12.35,1,0,0,0,0,0,0,0,605,4,133.5
132,Zach Pascal,IND,WR,25,#N/A,0,1,0,0,2,16,72,41,607,14.8,0,0,0,0,1,16,0,2,607,5,133.3
157,Anthony Miller,CHI,WR,25,134.4,0,0,0,0,1,-1,85,52,656,12.62,1,1,0,0,0,-1,0,1,656,2,127.5
150,T.Y. Hilton,IND,WR,30,49,0,0,0,0,0,0,68,45,501,11.13,0,0,0,0,0,0,0,0,501,5,125.1
180,Mohamed Sanu,2TM,WR,30,160.7,0,0,0,0,3,11,89,59,520,8.81,0,0,0,0,0,11,0,3,520,2,124.1
167,Greg Olsen,CAR,TE,34,148.9,0,0,0,0,0,0,82,52,597,11.48,0,0,0,0,0,0,0,0,597,2,123.7
153,Alshon Jeffery,PHI,WR,29,71.9,0,0,0,0,1,2,73,43,490,11.4,0,0,0,0,0,2,1,1,490,4,122.2
139,DeAndre Washington,OAK,RB,26,#N/A,0,0,0,0,108,387,41,36,292,8.11,0,0,0,0,0,387,3,108,292,0,121.9
151,Kenny Stills,HOU,WR,27,161.5,0,0,0,0,0,0,55,40,561,14.03,0,0,0,0,0,0,0,0,561,4,120.1
133,LeSean McCoy,KAN,RB,31,90.8,0,0,0,0,101,465,34,28,181,6.46,3,2,0,0,0,465,4,101,181,1,118.6
155,Brandin Cooks,LAR,WR,26,39.1,0,0,0,0,6,52,72,42,583,13.88,0,0,0,0,0,52,0,6,583,2,117.5
165,Corey Davis,TEN,WR,24,110.8,0,0,0,0,0,0,69,43,601,13.98,1,0,0,0,0,0,0,0,601,2,115.1
124,Peyton Barber,TAM,RB,25,131.3,0,0,0,0,154,470,24,16,115,7.19,1,1,0,0,0,470,6,154,115,1,114.5
147,Adam Thielen,MIN,WR,29,22.9,0,0,0,0,4,6,48,30,418,13.93,0,0,0,0,0,6,1,4,418,6,114.4
131,Mecole Hardman,KAN,WR,21,137.7,0,0,0,0,4,17,41,26,538,20.69,2,2,0,0,0,17,0,4,538,6,113.5
170,JuJu Smith-Schuster,PIT,WR,23,12.9,0,0,0,0,0,0,70,42,552,13.14,1,1,0,0,0,0,0,0,552,3,113.2
172,Jack Doyle,IND,TE,29,#N/A,0,0,0,0,0,0,72,43,448,10.42,1,0,0,0,0,0,0,0,448,4,111.8
160,Kyle Rudolph,MIN,TE,30,154.9,0,0,0,0,0,0,48,39,367,9.41,0,0,0,0,0,0,0,0,367,6,111.7
125,Jordan Howard,PHI,RB,25,103.7,0,0,0,0,119,525,14,10,69,6.9,0,0,0,0,0,525,6,119,69,1,111.4
169,Noah Fant,DEN,TE,22,#N/A,0,0,0,0,3,-12,66,40,562,14.05,1,1,0,0,0,-12,0,3,562,3,111
156,Darren Fells,HOU,TE,33,#N/A,0,0,0,0,0,0,48,34,341,10.03,0,0,0,0,0,0,0,0,341,7,110.1
179,Evan Engram,NYG,TE,25,57.3,0,0,0,0,3,7,68,44,467,10.61,0,0,0,0,0,7,0,3,467,3,109.4
116,Mason Rudolph,PIT,QB,24,#N/A,176,283,1765,9,21,42,0,0,0,0,4,0,1765,13,283,42,0,21,0,0,108.8
162,Nyheim Hines,IND,RB,23,159.2,0,0,0,0,52,199,58,44,320,7.27,1,1,0,0,0,199,2,52,320,0,105.9
171,Jonnu Smith,TEN,TE,24,#N/A,0,0,0,0,4,78,44,35,439,12.54,0,0,0,0,0,78,0,4,439,3,104.7
181,Tyler Eifert,CIN,TE,29,#N/A,0,0,0,0,0,0,63,43,436,10.14,0,0,0,0,0,0,0,0,436,3,104.6
194,Jaylen Samuels,PIT,RB,23,119,4,5,35,1,66,175,57,47,305,6.49,1,1,35,0,5,175,1,66,305,1,104.4
158,Steven Sims,WAS,WR,22,#N/A,0,1,0,0,9,85,56,34,310,9.12,1,0,0,0,1,85,1,9,310,4,103.5
120,Case Keenum,WAS,QB,31,#N/A,160,247,1707,5,9,12,0,0,0,0,6,3,1707,11,247,12,1,9,0,0,103.48
146,Matt Breida,SFO,RB,24,84.8,0,0,0,0,123,623,22,19,120,6.32,2,1,0,0,0,623,1,123,120,1,103.3
175,Allen Lazard,GNB,WR,24,#N/A,0,0,0,0,1,21,52,35,477,13.63,0,0,0,0,0,21,0,1,477,3,102.8
148,Taysom Hill,NOR,QB,29,#N/A,3,6,55,0,27,156,22,19,234,12.32,0,0,55,0,6,156,1,27,234,6,102.2
186,Auden Tate,CIN,WR,22,#N/A,0,0,0,0,0,0,80,40,575,14.38,1,1,0,0,0,0,0,0,575,1,101.5
183,Kareem Hunt,CLE,RB,24,100.8,0,0,0,0,43,179,44,37,285,7.7,1,0,0,0,0,179,2,43,285,1,101.4
161,Rex Burkhead,NWE,RB,29,#N/A,0,0,0,0,65,302,38,27,279,10.33,1,1,0,0,0,302,3,65,279,0,101.1
173,Demarcus Robinson,KAN,WR,25,#N/A,0,0,0,0,0,0,55,32,449,14.03,0,0,0,0,0,0,0,0,449,4,100.9
166,Phillip Dorsett,NWE,WR,26,#N/A,0,0,0,0,3,21,54,29,397,13.69,0,0,0,0,0,21,0,3,397,5,100.8
185,Jimmy Graham,GNB,TE,33,#N/A,0,0,0,0,0,0,60,38,447,11.76,1,0,0,0,0,0,0,0,447,3,100.7
216,Russell Gage,ATL,WR,23,#N/A,0,0,0,0,4,12,74,49,446,9.1,1,1,0,0,0,12,0,4,446,1,98.8
164,Boston Scott,PHI,RB,24,#N/A,0,0,0,0,61,245,26,24,204,8.5,4,1,0,0,0,245,5,61,204,0,96.9
206,Alex Erickson,CIN,WR,27,#N/A,1,1,26,0,5,33,78,43,529,12.3,4,2,26,0,1,33,0,5,529,0,96.24
182,Ryan Griffin,NYJ,TE,29,#N/A,0,0,0,0,0,0,41,34,320,9.41,0,0,0,0,0,0,0,0,320,5,96
174,Kendrick Bourne,SFO,WR,24,#N/A,0,0,0,0,0,0,44,30,358,11.93,0,0,0,0,0,0,0,0,358,5,95.8
184,Willie Snead,BAL,WR,27,#N/A,0,0,0,0,2,2,46,31,339,10.94,0,0,0,0,0,2,0,2,339,5,95.1
178,John Ross,CIN,WR,25,#N/A,0,0,0,0,3,4,56,28,506,18.07,1,1,0,0,0,4,0,3,506,3,95
149,Frank Gore,BUF,RB,36,152.3,0,0,0,0,166,599,16,13,100,7.69,0,0,0,0,0,599,2,166,100,0,94.9
208,Jacob Hollister,SEA,TE,26,#N/A,0,0,0,0,0,0,59,41,349,8.51,0,0,0,0,0,0,0,0,349,3,93.9
213,Chris Thompson,WAS,RB,29,#N/A,0,0,0,0,37,138,58,42,378,9,1,0,0,0,0,138,0,37,378,0,93.6
138,Gus Edwards,BAL,RB,24,#N/A,0,0,0,0,133,711,7,7,45,6.43,2,1,0,0,0,711,2,133,45,0,92.6
198,Nelson Agholor,PHI,WR,26,#N/A,0,0,0,0,2,7,69,39,363,9.31,2,1,0,0,0,7,0,2,363,3,92
199,Cameron Brate,TAM,TE,28,#N/A,0,0,0,0,0,0,55,36,311,8.64,0,0,0,0,0,0,0,0,311,4,91.1
188,Preston Williams,MIA,WR,22,#N/A,0,0,0,0,0,0,60,32,428,13.38,2,1,0,0,0,0,0,0,428,3,90.8
135,Teddy Bridgewater,NOR,QB,27,#N/A,133,196,1384,2,28,31,0,0,0,0,1,0,1384,9,196,31,0,28,0,0,90.46
